sample_name	altitude	altitude_m	anonymized_name	collection_timestamp	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	host_class	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	ph	ph_meth	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	salinity_psu	samp_salinity	sample_scientific_name	sample_taxid	sample_type	scientific_name	season_environment	temp	temperature_deg_c	texture	title	tot_carb	tot_nitro	tot_org_carb	water_content_soil
1001.SKB1	0	0.0	SKB1	2011-11-11	GAZ:United States of America	0.15	0.15	Burmese bulk	TRUE	114	114	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	agricultural soil	soil	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	TRUE	c__	f__Cannabaceae	g__Cannabis	k__Viridiplantae	o__Rosales	p__Streptophyta	Cannabis sativa	s__Cannabis_sativa	SKB1	sk__Eukaryota	3483	33.194	33.194	-117.241	-117.241	6.94		ANL	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1001	7.15	7.15	soil metagenome	410658	Soil	soil metagenome	winter	15	15	64.6 sand, 17.6 silt, 17.8 clay	Cannabis Soil Microbiome	Missing: Not provided	1.41	5	0.164
1001.SKB2	0	0.0	SKB2	2011-11-11	GAZ:United States of America	0.15	0.15	Burmese bulk	TRUE	114	114	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	agricultural soil	soil	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	TRUE	c__	f__Cannabaceae	g__Cannabis	k__Viridiplantae	o__Rosales	p__Streptophyta	Cannabis sativa	s__Cannabis_sativa	SKB2	sk__Eukaryota	3483	33.194	33.194	-117.241	-117.241	6.94		ANL	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1001	7.15	7.15	soil metagenome	410658	Soil	soil metagenome	winter	15	15	64.6 sand, 17.6 silt, 17.8 clay	Cannabis Soil Microbiome	Missing: Not provided	1.41	5	0.164
1001.SKB3	0	0.0	SKB3	2011-11-11	GAZ:United States of America	0.15	0.15	Burmese bulk	TRUE	114	114	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	agricultural soil	soil	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	TRUE	c__	f__Cannabaceae	g__Cannabis	k__Viridiplantae	o__Rosales	p__Streptophyta	Cannabis sativa	s__Cannabis_sativa	SKB3	sk__Eukaryota	3483	33.194	33.194	-117.241	-117.241	6.94		ANL	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1001	7.15	7.15	soil metagenome	410658	Soil	soil metagenome	winter	15	15	64.6 sand, 17.6 silt, 17.8 clay	Cannabis Soil Microbiome	Missing: Not provided	1.41	5	0.164
1001.SKB4	0	0.0	SKB4	2011-11-11	GAZ:United States of America	0.15	0.15	Burmese Rhizo	TRUE	114	114	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	plant-associated habitat	soil	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	TRUE	c__	f__Cannabaceae	g__Cannabis	k__Viridiplantae	o__Rosales	p__Streptophyta	Cannabis sativa	s__Cannabis_sativa	SKB4	sk__Eukaryota	3483	33.194	33.194	-117.241	-117.241	6.94		ANL	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1001	7.15	7.15	rhizosphere metagenome	939928	Soil	rhizosphere metagenome	winter	15	15	64.6 sand, 17.6 silt, 17.8 clay	Cannabis Soil Microbiome	Missing: Not provided	1.41	5	0.164
1001.SKB5	0	0.0	SKB5	2011-11-11	GAZ:United States of America	0.15	0.15	Burmese Rhizo	TRUE	114	114	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	plant-associated habitat	soil	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	TRUE	c__	f__Cannabaceae	g__Cannabis	k__Viridiplantae	o__Rosales	p__Streptophyta	Cannabis sativa	s__Cannabis_sativa	SKB5	sk__Eukaryota	3483	33.194	33.194	-117.241	-117.241	6.94		ANL	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1001	7.15	7.15	rhizosphere metagenome	939928	Soil	rhizosphere metagenome	winter	15	15	64.6 sand, 17.6 silt, 17.8 clay	Cannabis Soil Microbiome	Missing: Not provided	1.41	5	0.164
1001.SKB6	0	0.0	SKB6	2011-11-11	GAZ:United States of America	0.15	0.15	Burmese Rhizo	TRUE	114	114	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	plant-associated habitat	soil	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	TRUE	c__	f__Cannabaceae	g__Cannabis	k__Viridiplantae	o__Rosales	p__Streptophyta	Cannabis sativa	s__Cannabis_sativa	SKB6	sk__Eukaryota	3483	33.194	33.194	-117.241	-117.241	6.94		ANL	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1001	7.15	7.15	rhizosphere metagenome	939928	Soil	rhizosphere metagenome	winter	15	15	64.6 sand, 17.6 silt, 17.8 clay	Cannabis Soil Microbiome	Missing: Not provided	1.41	5	0.164
1001.SKB7	0	0.0	SKB7	2011-11-11	GAZ:United States of America	0.15	0.15	Burmese root	TRUE	114	114	True	EMP sample	Host-associated	Plant	Plant rhizosphere	cropland biome	plant-associated habitat	organic material	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	TRUE	c__	f__Cannabaceae	g__Cannabis	k__Viridiplantae	o__Rosales	p__Streptophyta	Cannabis sativa	s__Cannabis_sativa	SKB7	sk__Eukaryota	3483	33.194	33.194	-117.241	-117.241	6.94		ANL	TRUE	TRUE	Host-associated	Plant	Plant rhizosphere	1001	7.15	7.15	root metagenome	1118232	Root	root metagenome	winter	15	15	64.6 sand, 17.6 silt, 17.8 clay	Cannabis Soil Microbiome	Missing: Not provided	1.41	5	0.164
1001.SKB8	0	0.0	SKB8	2011-11-11	GAZ:United States of America	0.15	0.15	Burmese root	TRUE	114	114	True	EMP sample	Host-associated	Plant	Plant rhizosphere	cropland biome	plant-associated habitat	organic material	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	TRUE	c__	f__Cannabaceae	g__Cannabis	k__Viridiplantae	o__Rosales	p__Streptophyta	Cannabis sativa	s__Cannabis_sativa	SKB8	sk__Eukaryota	3483	33.194	33.194	-117.241	-117.241	6.94		ANL	TRUE	TRUE	Host-associated	Plant	Plant rhizosphere	1001	7.15	7.15	root metagenome	1118232	Root	root metagenome	winter	15	15	64.6 sand, 17.6 silt, 17.8 clay	Cannabis Soil Microbiome	Missing: Not provided	1.41	5	0.164
1001.SKB9	0	0.0	SKB9	2011-11-11	GAZ:United States of America	0.15	0.15	Burmese root	TRUE	114	114	True	EMP sample	Host-associated	Plant	Plant rhizosphere	cropland biome	plant-associated habitat	organic material	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	TRUE	c__	f__Cannabaceae	g__Cannabis	k__Viridiplantae	o__Rosales	p__Streptophyta	Cannabis sativa	s__Cannabis_sativa	SKB9	sk__Eukaryota	3483	33.194	33.194	-117.241	-117.241	6.8		ANL	TRUE	TRUE	Host-associated	Plant	Plant rhizosphere	1001	7.15	7.15	root metagenome	1118232	Root	root metagenome	winter	15	15	64.6 sand, 17.6 silt, 17.8 clay	Cannabis Soil Microbiome	Missing: Not provided	1.41	5	0.164
1001.SKD1	0	0.0	SKD1	2011-11-11	GAZ:United States of America	0.15	0.15	Diesel bulk	TRUE	114	114	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	agricultural soil	soil	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	TRUE	c__	f__Cannabaceae	g__Cannabis	k__Viridiplantae	o__Rosales	p__Streptophyta	Cannabis sativa	s__Cannabis_sativa	SKD1	sk__Eukaryota	3483	33.194	33.194	-117.241	-117.241	6.8		ANL	TRUE	TRUE				1001	7.1	7.1	soil metagenome	410658	Soil	soil metagenome	winter	15	15	66 sand, 16.3 silt, 17.7 clay	Cannabis Soil Microbiome	Missing: Not provided	1.51	4.32	0.178
1001.SKD2	0	0.0	SKD2	2011-11-11	GAZ:United States of America	0.15	0.15	Diesel bulk	TRUE	114	114	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	agricultural soil	soil	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	TRUE	c__	f__Cannabaceae	g__Cannabis	k__Viridiplantae	o__Rosales	p__Streptophyta	Cannabis sativa	s__Cannabis_sativa	SKD2	sk__Eukaryota	3483	33.194	33.194	-117.241	-117.241	6.8		ANL	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1001	7.1	7.1	soil metagenome	410658	Soil	soil metagenome	winter	15	15	66 sand, 16.3 silt, 17.7 clay	Cannabis Soil Microbiome	Missing: Not provided	1.51	4.32	0.178
