sample_name	altitude_m	anonymized_name	barcode_number	body_habitat	body_product	body_site	collection_timestamp	country	depth_m	description	diet	diet_description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	genus	geo_loc_name	gut_physiology	host_class	host_common_name	host_family	host_genus	host_kingdom	host_major_clade	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	life_stage	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	species	title	wild_captive
1056.Chae.vel.Cinci.1	0.0	Chae.vel.Cinci11.1	P1_C6	UBERON:feces	UBERON:feces	UBERON:feces	2012-08-16	GAZ:United States of America	0	fecal sample from Screaming hairy armadillo	Omnivore	plant material, insects, arachnids and vertebrates	TRUE	482	482.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Chaetophractus	United States of America	Simple	c__Mammalia	Screaming hairy armadillo	f__Chlamyphoridae	g__Chaetophractus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Chaetophractus vellerosus	s__Chaetophractus_vellerosus	1056:Chae.vel.Cinci11.1	sk__Eukaryota	340076	39.167	39.167	adult	-84.5	-84.5	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	female	vellerosus	Comparison of microbial flora in ant-eating mammals	captive
1056.Chae.vel.Cinci.2	0.0	Chae.vel.Cinci12.2	P1_D6	UBERON:feces	UBERON:feces	UBERON:feces	2012-08-16	GAZ:United States of America	0	fecal sample from Screaming hairy armadillo	Omnivore	plant material, insects, arachnids and vertebrates	TRUE	482	482.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Chaetophractus	United States of America	Simple	c__Mammalia	Screaming hairy armadillo	f__Chlamyphoridae	g__Chaetophractus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Chaetophractus vellerosus	s__Chaetophractus_vellerosus	1056:Chae.vel.Cinci12.2	sk__Eukaryota	340076	39.167	39.167	juvenile	-84.5	-84.5	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	male	vellerosus	Comparison of microbial flora in ant-eating mammals	captive
1056.Chae.vel.Cinci.3	0.0	Chae.vel.Cinci10.3	P1_B6	UBERON:feces	UBERON:feces	UBERON:feces	2012-08-16	GAZ:United States of America	0	fecal sample from Screaming hairy armadillo	Omnivore	plant material, insects, arachnids and vertebrates	TRUE	482	482.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Chaetophractus	United States of America	Simple	c__Mammalia	Screaming hairy armadillo	f__Chlamyphoridae	g__Chaetophractus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Chaetophractus vellerosus	s__Chaetophractus_vellerosus	1056:Chae.vel.Cinci10.3	sk__Eukaryota	340076	39.167	39.167	adult	-84.5	-84.5	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	male	vellerosus	Comparison of microbial flora in ant-eating mammals	captive
1056.Chl.tru.Mend.1	0.0	Chl.tru.Mend.1	P1_E3	UBERON:feces	UBERON:feces	UBERON:feces	2009-09-17	GAZ:Argentina	0	fecal sample from Pink fairy armadillo	Insectivore	ants, insects, soil invertebrates	TRUE	2449	2449.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Chlamyphorus	Argentina	Simple	c__Mammalia	Pink fairy armadillo	f__Chlamyphoridae	g__Chlamyphorus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Chlamyphorus truncatus	s__Chlamyphorus_truncatus	1056:Chl.tru.Mend.1	sk__Eukaryota	450267	-32.8	-32.8	juvenile	-68.867	-68.867	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	male	truncatus	Comparison of microbial flora in ant-eating mammals	wild
1056.Cho.did.SanDi.1	0.0	Cho.did.SanDi7.1	P1_B4	UBERON:feces	UBERON:feces	UBERON:feces	2012-08-04	GAZ:United States of America	0	fecal sample from Linnaeus two-toed Sloth	Folivore	tree leaves	TRUE	72	72.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Choloepus	United States of America	Foregut	c__Mammalia	southern two-toed sloth	f__Megalonychidae	g__Choloepus	k__Metazoa	Xenarthra	o__Pilosa	p__Chordata	Choloepus didactylus	s__Choloepus_didactylus	1056:Cho.did.SanDi7.1	sk__Eukaryota	27675	32.78	32.78	adult	-117.07	-117.07	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	male	didactylus	Comparison of microbial flora in ant-eating mammals	captive
1056.Cho.did.SanDi.2	0.0	Cho.did.SanDi.2	P1_G3	UBERON:feces	UBERON:feces	UBERON:feces	2012-08-03	GAZ:United States of America	0	fecal sample from Linnaeus two-toed Sloth	Folivore	tree leaves	TRUE	72	72.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Choloepus	United States of America	Foregut	c__Mammalia	southern two-toed sloth	f__Megalonychidae	g__Choloepus	k__Metazoa	Xenarthra	o__Pilosa	p__Chordata	Choloepus didactylus	s__Choloepus_didactylus	1056:Cho.did.SanDi.2	sk__Eukaryota	27675	32.78	32.78	adult	-117.07	-117.07	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	female	didactylus	Comparison of microbial flora in ant-eating mammals	captive
1056.Cho.did.SanDi.3	0.0	Cho.did.SanDi.3	P1_H3	UBERON:feces	UBERON:feces	UBERON:feces	2012-08-03	GAZ:United States of America	0	fecal sample from Linnaeus two-toed Sloth	Folivore	tree leaves	TRUE	72	72.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Choloepus	United States of America	Foregut	c__Mammalia	southern two-toed sloth	f__Megalonychidae	g__Choloepus	k__Metazoa	Xenarthra	o__Pilosa	p__Chordata	Choloepus didactylus	s__Choloepus_didactylus	1056:Cho.did.SanDi.3	sk__Eukaryota	27675	32.78	32.78	juvenile	-117.07	-117.07	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	female	didactylus	Comparison of microbial flora in ant-eating mammals	captive
1056.Cho.hof.Atlan.1	0.0	Cho.hof.Atlan.1	P2_B1	UBERON:feces	UBERON:feces	UBERON:feces	2012-01-01	GAZ:United States of America	0	fecal sample from Hoffmann's two-toed sloth	Folivore	tree leaves	TRUE	319.95	319.95	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Choloepus	United States of America	Foregut	c__Mammalia	Hoffmann's two-fingered sloth	f__Megalonychidae	g__Choloepus	k__Metazoa	Xenarthra	o__Pilosa	p__Chordata	Choloepus hoffmanni	s__Choloepus_hoffmanni	1056:Cho.hof.Atlan.1	sk__Eukaryota	9358	33.749	33.749	adult	-84.388	-84.388	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	Missing: Not collected	hoffmanni	Comparison of microbial flora in ant-eating mammals	captive
1056.Cho.hof.Atlan.1.1	0.0	Cho.hof.Atlan.1.1	P2_A1	UBERON:feces	UBERON:feces	UBERON:feces	2012-01-02	GAZ:United States of America	0	fecal sample from Hoffmann's two-toed sloth	Folivore	tree leaves	TRUE	319.95	319.95	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Choloepus	United States of America	Foregut	c__Mammalia	Hoffmann's two-fingered sloth	f__Megalonychidae	g__Choloepus	k__Metazoa	Xenarthra	o__Pilosa	p__Chordata	Choloepus hoffmanni	s__Choloepus_hoffmanni	1056:Cho.hof.Atlan.1.1	sk__Eukaryota	9358	33.749	33.749	adult	-84.388	-84.388	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	Missing: Not collected	hoffmanni	Comparison of microbial flora in ant-eating mammals	captive
1056.Cho.hof.Atlan.2	0.0	Cho.hof.Atlan.2	P2_E1	UBERON:feces	UBERON:feces	UBERON:feces	2012-01-03	GAZ:United States of America	0	fecal sample from Hoffmann's two-toed sloth	Folivore	tree leaves	TRUE	319.95	319.95	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Choloepus	United States of America	Foregut	c__Mammalia	Hoffmann's two-fingered sloth	f__Megalonychidae	g__Choloepus	k__Metazoa	Xenarthra	o__Pilosa	p__Chordata	Choloepus hoffmanni	s__Choloepus_hoffmanni	1056:Cho.hof.Atlan.2	sk__Eukaryota	9358	33.749	33.749	adult	-84.388	-84.388	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	Missing: Not collected	hoffmanni	Comparison of microbial flora in ant-eating mammals	captive
