sample_name	age	age_group	age_unit	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	colony_tetracycline	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	larval_tetracycline	latitude	latitude_deg	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_name_in_tube	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	title	village
1064.G.CJV171	Missing: Not provided	drone	days	0	0.0	G.CJV171	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2008-10-22	True	GAZ:Puerto Rico	0	0	Whole intestine tissue, with food content.	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	G-CJV171	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	143	gut metagenome	749906	bee intestine with content	insect gut metagenome	male	Microbiome of honey bees from Puerto Rico	Gurabo
1064.G.CJV172	Missing: Not provided	drone	days	0	0.0	G.CJV172	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2008-10-24	True	GAZ:Puerto Rico	0	0	Whole intestine tissue, with food content.	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	G-CJV172	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	145	gut metagenome	749906	bee intestine with content	insect gut metagenome	male	Microbiome of honey bees from Puerto Rico	Gurabo
1064.G.CJV173	Missing: Not provided	drone	days	0	0.0	G.CJV173	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2008-10-24	True	GAZ:Puerto Rico	0	0	Whole intestine tissue, with food content.	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	G-CJV173	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	147	gut metagenome	749906	bee intestine with content	insect gut metagenome	male	Microbiome of honey bees from Puerto Rico	Gurabo
1064.G.CJV174	Missing: Not provided	drone	days	0	0.0	G.CJV174	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2008-10-25	True	GAZ:Puerto Rico	0	0	Whole intestine tissue, with food content.	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	G-CJV174	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	149	gut metagenome	749906	bee intestine with content	insect gut metagenome	male	Microbiome of honey bees from Puerto Rico	Gurabo
1064.G.CJV175	Missing: Not provided	drone	days	0	0.0	G.CJV175	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole intestine tissue, with food content.	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	G-CJV175	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	151	gut metagenome	749906	bee intestine with content	insect gut metagenome	male	Microbiome of honey bees from Puerto Rico	Gurabo
1064.G.CJV176	Missing: Not provided	drone	days	0	0.0	G.CJV176	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole intestine tissue, with food content.	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	G-CJV176	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	153	gut metagenome	749906	bee intestine with content	insect gut metagenome	male	Microbiome of honey bees from Puerto Rico	Gurabo
1064.G.CJV189	5	nurse	days	0	0.0	G.CJV189	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-11	False	GAZ:Puerto Rico	0	0	Whole intestine tissue, with food content.	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	G-CJV189	sk__Eukaryota	7460	False	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	179	gut metagenome	749906	bee intestine with content	insect gut metagenome	female	Microbiome of honey bees from Puerto Rico	Gurabo
1064.G.CJV190	5	nurse	days	0	0.0	G.CJV190	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12	False	GAZ:Puerto Rico	0	0	Whole intestine tissue, with food content.	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	G-CJV190	sk__Eukaryota	7460	False	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	181	gut metagenome	749906	bee intestine with content	insect gut metagenome	female	Microbiome of honey bees from Puerto Rico	Gurabo
1064.G.CJV191	5	nurse	days	0	0.0	G.CJV191	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12	False	GAZ:Puerto Rico	0	0	Whole intestine tissue, with food content.	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	G-CJV191	sk__Eukaryota	7460	False	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	183	gut metagenome	749906	bee intestine with content	insect gut metagenome	female	Microbiome of honey bees from Puerto Rico	Gurabo
1064.G.CJV192	5	nurse	days	0	0.0	G.CJV192	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12	False	GAZ:Puerto Rico	0	0	Whole intestine tissue, with food content.	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	G-CJV192	sk__Eukaryota	7460	False	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	185	gut metagenome	749906	bee intestine with content	insect gut metagenome	female	Microbiome of honey bees from Puerto Rico	Gurabo
