sample_name	adult_diet	altitude_m	annual_season_precpt	annual_season_temp	anonymized_name	arachnid	barometric_presure	blood	carb_nitro_ratio	class	cmin_rate	collection_timestamp	country	depth	depth_m	description	dew_point_temp	diet	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	end_time	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	family	general_diet	genus_species	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	insect	land_use	latitude	latitude_deg	longitude	longitude_deg	max_wind_speed	order_tax	ph	ph_meth	phloem	physical_specimen_location	physical_specimen_remaining	place	public	qiita_study_id	relative_humidity	sample_scientific_name	sample_set	sample_taxid	sample_type	scientific_name	silt_clay	soil_moisture_deficit	soil_type	solar_radiation	specific_location	specific_location_name	start_time	superorder	taxon_id	temp	temperature_deg_c	texture	title	tot_nitro	tot_org_carb	tot_org_nitro	wind_cardinal_directions	wind_speed
1521.1.W.s.6.1.sequences	Not applicable	0.0	Not applicable	Not applicable	1.W	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2009-02-06 09:00:00	GAZ:United States of America	0	0	BETASSO_20090206_0900 1.W	0	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Free-living	Non-saline	Water (non-saline)	Not applicable	Small river biome	stream	fresh water	water	biome	aquatic biome	freshwater biome	freshwater river biome	Small river biome	Not applicable	TRUE	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.W	Not applicable	Not applicable	Not applicable	Not applicable	40.01	40.01	-105.34	-105.34	Not applicable	Not applicable	Not applicable	electrode		CCME	FALSE	Boulder	TRUE	1521	Not applicable	freshwater metagenome	Stream#1	449393	fresh water	freshwater metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Boulder	Not applicable	Not applicable	Not applicable	449393	Not applicable	Not applicable	Not applicable	Samples presented at EMP conference June 2011 Shenzhen	Not applicable	Not applicable	Not applicable		Not applicable
1521.10.W.s.6.1.sequences	Not applicable	0.0	Not applicable	Not applicable	10.W	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2009-05-01 14:00:00	GAZ:United States of America	0	0	BETASSO_20090501_1400 10.W	0	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Free-living	Non-saline	Water (non-saline)	Not applicable	Small river biome	stream	fresh water	water	biome	aquatic biome	freshwater biome	freshwater river biome	Small river biome	Not applicable	TRUE	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10.W	Not applicable	Not applicable	Not applicable	Not applicable	40.01	40.01	-105.34	-105.34	Not applicable	Not applicable	Not applicable	electrode		CCME	FALSE	Boulder	TRUE	1521	Not applicable	freshwater metagenome	Stream#1	449393	fresh water	freshwater metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Boulder	Not applicable	Not applicable	Not applicable	449393	Not applicable	Not applicable	Not applicable	Samples presented at EMP conference June 2011 Shenzhen	Not applicable	Not applicable	Not applicable		Not applicable
1521.11.W.s.6.1.sequences	Not applicable	0.0	Not applicable	Not applicable	11.W	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2009-05-07 11:00:00	GAZ:United States of America	0	0	BETASSO_20090507_1100 11.W	0	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Free-living	Non-saline	Water (non-saline)	Not applicable	Small river biome	stream	fresh water	water	biome	aquatic biome	freshwater biome	freshwater river biome	Small river biome	Not applicable	TRUE	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	11.W	Not applicable	Not applicable	Not applicable	Not applicable	40.01	40.01	-105.34	-105.34	Not applicable	Not applicable	Not applicable	electrode		CCME	FALSE	Boulder	TRUE	1521	Not applicable	freshwater metagenome	Stream#1	449393	fresh water	freshwater metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Boulder	Not applicable	Not applicable	Not applicable	449393	Not applicable	Not applicable	Not applicable	Samples presented at EMP conference June 2011 Shenzhen	Not applicable	Not applicable	Not applicable		Not applicable
1521.12.W.s.6.1.sequences	Not applicable	0.0	Not applicable	Not applicable	12.W	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2009-05-15 11:30:00	GAZ:United States of America	0	0	BETASSO_20090515_1130 12.W	0	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Free-living	Non-saline	Water (non-saline)	Not applicable	Small river biome	stream	fresh water	water	biome	aquatic biome	freshwater biome	freshwater river biome	Small river biome	Not applicable	TRUE	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	12.W	Not applicable	Not applicable	Not applicable	Not applicable	40.01	40.01	-105.34	-105.34	Not applicable	Not applicable	Not applicable	electrode		CCME	FALSE	Boulder	TRUE	1521	Not applicable	freshwater metagenome	Stream#1	449393	fresh water	freshwater metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Boulder	Not applicable	Not applicable	Not applicable	449393	Not applicable	Not applicable	Not applicable	Samples presented at EMP conference June 2011 Shenzhen	Not applicable	Not applicable	Not applicable		Not applicable
1521.13.W.s.6.1.sequences	Not applicable	0.0	Not applicable	Not applicable	13.W	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2009-05-22 12:00:00	GAZ:United States of America	0	0	BETASSO_20090522_1200 13.W	0	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Free-living	Non-saline	Water (non-saline)	Not applicable	Small river biome	stream	fresh water	water	biome	aquatic biome	freshwater biome	freshwater river biome	Small river biome	Not applicable	TRUE	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	13.W	Not applicable	Not applicable	Not applicable	Not applicable	40.01	40.01	-105.34	-105.34	Not applicable	Not applicable	Not applicable	electrode		CCME	FALSE	Boulder	TRUE	1521	Not applicable	freshwater metagenome	Stream#1	449393	fresh water	freshwater metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Boulder	Not applicable	Not applicable	Not applicable	449393	Not applicable	Not applicable	Not applicable	Samples presented at EMP conference June 2011 Shenzhen	Not applicable	Not applicable	Not applicable		Not applicable
1521.14.W.s.6.1.sequences	Not applicable	0.0	Not applicable	Not applicable	14.W	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2009-05-27 11:00:00	GAZ:United States of America	0	0	BETASSO_20090527_1100 14.W	0	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Free-living	Non-saline	Water (non-saline)	Not applicable	Small river biome	stream	fresh water	water	biome	aquatic biome	freshwater biome	freshwater river biome	Small river biome	Not applicable	TRUE	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	14.W	Not applicable	Not applicable	Not applicable	Not applicable	40.01	40.01	-105.34	-105.34	Not applicable	Not applicable	Not applicable	electrode		CCME	FALSE	Boulder	TRUE	1521	Not applicable	freshwater metagenome	Stream#1	449393	fresh water	freshwater metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Boulder	Not applicable	Not applicable	Not applicable	449393	Not applicable	Not applicable	Not applicable	Samples presented at EMP conference June 2011 Shenzhen	Not applicable	Not applicable	Not applicable		Not applicable
1521.15.W.s.6.1.sequences	Not applicable	0.0	Not applicable	Not applicable	15.W	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2009-06-12 12:15:00	GAZ:United States of America	0	0	BETASSO_20090612_1215 15.W	0	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Free-living	Non-saline	Water (non-saline)	Not applicable	Small river biome	stream	fresh water	water	biome	aquatic biome	freshwater biome	freshwater river biome	Small river biome	Not applicable	TRUE	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	15.W	Not applicable	Not applicable	Not applicable	Not applicable	40.01	40.01	-105.34	-105.34	Not applicable	Not applicable	Not applicable	electrode		CCME	FALSE	Boulder	TRUE	1521	Not applicable	freshwater metagenome	Stream#1	449393	fresh water	freshwater metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Boulder	Not applicable	Not applicable	Not applicable	449393	Not applicable	Not applicable	Not applicable	Samples presented at EMP conference June 2011 Shenzhen	Not applicable	Not applicable	Not applicable		Not applicable
1521.16.W.s.6.1.sequences	Not applicable	0.0	Not applicable	Not applicable	16.W	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2009-06-19 12:30:00	GAZ:United States of America	0	0	BETASSO_20090619_1230 16.W	0	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Free-living	Non-saline	Water (non-saline)	Not applicable	Small river biome	stream	fresh water	water	biome	aquatic biome	freshwater biome	freshwater river biome	Small river biome	Not applicable	TRUE	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	16.W	Not applicable	Not applicable	Not applicable	Not applicable	40.01	40.01	-105.34	-105.34	Not applicable	Not applicable	Not applicable	electrode		CCME	FALSE	Boulder	TRUE	1521	Not applicable	freshwater metagenome	Stream#1	449393	fresh water	freshwater metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Boulder	Not applicable	Not applicable	Not applicable	449393	Not applicable	Not applicable	Not applicable	Samples presented at EMP conference June 2011 Shenzhen	Not applicable	Not applicable	Not applicable		Not applicable
1521.17.W.s.6.1.sequences	Not applicable	0.0	Not applicable	Not applicable	17.W	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2009-07-02 13:50:00	GAZ:United States of America	0	0	BETASSO_20090702_1350 17.W	0	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Free-living	Non-saline	Water (non-saline)	Not applicable	Small river biome	stream	fresh water	water	biome	aquatic biome	freshwater biome	freshwater river biome	Small river biome	Not applicable	TRUE	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	17.W	Not applicable	Not applicable	Not applicable	Not applicable	40.01	40.01	-105.34	-105.34	Not applicable	Not applicable	Not applicable	electrode		CCME	FALSE	Boulder	TRUE	1521	Not applicable	freshwater metagenome	Stream#1	449393	fresh water	freshwater metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Boulder	Not applicable	Not applicable	Not applicable	449393	Not applicable	Not applicable	Not applicable	Samples presented at EMP conference June 2011 Shenzhen	Not applicable	Not applicable	Not applicable		Not applicable
1521.18.W.s.6.1.sequences	Not applicable	0.0	Not applicable	Not applicable	18.W	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2009-07-10 12:30:00	GAZ:United States of America	0	0	BETASSO_20090710_1230 18.W	0	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Free-living	Non-saline	Water (non-saline)	Not applicable	Small river biome	stream	fresh water	water	biome	aquatic biome	freshwater biome	freshwater river biome	Small river biome	Not applicable	TRUE	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	18.W	Not applicable	Not applicable	Not applicable	Not applicable	40.01	40.01	-105.34	-105.34	Not applicable	Not applicable	Not applicable	electrode		CCME	FALSE	Boulder	TRUE	1521	Not applicable	freshwater metagenome	Stream#1	449393	fresh water	freshwater metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Boulder	Not applicable	Not applicable	Not applicable	449393	Not applicable	Not applicable	Not applicable	Samples presented at EMP conference June 2011 Shenzhen	Not applicable	Not applicable	Not applicable		Not applicable
