sample_name	altitude	altitude_m	anonymized_name	collection_timestamp	country	cultivar	daily_high	daily_low	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	growth_data	growth_stage	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	perturbation	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	title	weather_conditions	weekly_ave_high	weekly_ave_low
1642.1BLANK	0	0.0	1BLANK	Not applicable	GAZ:United States of America	Missing: Not provided	Missing: Not provided	Missing: Not provided	0	Not applicable	control sample 1BLANK	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1BLANK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Not applicable	UCSDMI	TRUE	TRUE	Control	Negative	Sterile water blank	1642	metagenomes	408169	control blank	metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	Not applicable	Not applicable	Not applicable
1642.2BLANK	0	0.0	2BLANK	Not applicable	GAZ:United States of America	Missing: Not provided	Missing: Not provided	Missing: Not provided	0	Not applicable	control sample 2BLANK	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2BLANK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Not applicable	UCSDMI	TRUE	TRUE				1642	metagenomes	408169	control blank	metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	Not applicable	Not applicable	Not applicable
1642.3BLANK	0	0.0	3BLANK	Not applicable	GAZ:United States of America	Missing: Not provided	Missing: Not provided	Missing: Not provided	0	Not applicable	control sample 3BLANK	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3BLANK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Not applicable	UCSDMI	TRUE	TRUE				1642	metagenomes	408169	control blank	metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	Not applicable	Not applicable	Not applicable
1642.4BLANK	0	0.0	4BLANK	Not applicable	GAZ:United States of America	Missing: Not provided	Missing: Not provided	Missing: Not provided	0	Not applicable	control sample 4BLANK	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	4BLANK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Not applicable	UCSDMI	TRUE	TRUE				1642	metagenomes	408169	control blank	metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	Not applicable	Not applicable	Not applicable
1642.5BLANK	0	0.0	5BLANK	Not applicable	GAZ:United States of America	Missing: Not provided	Missing: Not provided	Missing: Not provided	0	Not applicable	control sample 5BLANK	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	5BLANK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Not applicable	UCSDMI	TRUE	TRUE				1642	metagenomes	408169	control blank	metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	Not applicable	Not applicable	Not applicable
1642.6BLANK	0	0.0	6BLANK	Not applicable	GAZ:United States of America	Missing: Not provided	Missing: Not provided	Missing: Not provided	0	Not applicable	control sample 6BLANK	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	6BLANK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Not applicable	UCSDMI	TRUE	TRUE				1642	metagenomes	408169	control blank	metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	Not applicable	Not applicable	Not applicable
1642.MS00001	0	0.0	MS00001	2011-06-06	GAZ:Japan	Missing: Not provided	19	19	0	Not applicable	Bulk soil unknown MS00001	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	MS00001	Not applicable	Not applicable	35.117	35.117	138.937	138.937	sample taken 1 day after flooding	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	sunny	23	19
1642.MS00002	0	0.0	MS00002	2011-06-06	GAZ:Japan	Missing: Not provided	19	19	0	Not applicable	Bulk soil unknown MS00002	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	MS00002	Not applicable	Not applicable	35.117	35.117	138.937	138.937	sample taken 1 day after flooding	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	sunny	23	19
1642.MS00003	0	0.0	MS00003	2011-06-06	GAZ:Japan	Missing: Not provided	19	19	0	Not applicable	Bulk soil unknown MS00003	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	MS00003	Not applicable	Not applicable	35.117	35.117	138.937	138.937	sample taken 1 day after flooding	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	sunny	23	19
1642.MS00004	0	0.0	MS00004	2011-06-06	GAZ:Japan	Missing: Not provided	19	19	0	Not applicable	Bulk soil unknown MS00004	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	MS00004	Not applicable	Not applicable	35.117	35.117	138.937	138.937	sample taken 1 day after flooding	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	sunny	23	19
