sample_name	adult	altitude_m	anonymized_name	body_habitat	body_product	body_site	clean_bat_bag	collection_timestamp	country	depth	depth_m	description	diet	diet_description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	health_status	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	overnight_bat_bag	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	site	title
1734.BD.ERD501	adult	0.0	BD.ERD501	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.ERD501	Carnivore	Carnivore moths  lizards small mammals	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	Not applicable	f__Phyllostomidae	g__Trachops	k__Metazoa	o__Chiroptera	p__Chordata	Trachops cirrhosus	s__Trachops_cirrhosus	ERD501	sk__Eukaryota	148073	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome	female	Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.ERD502	adult	0.0	BD.ERD502	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.ERD502	Herbivore	Frugivore Fruits/figs	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	Not applicable	f__Phyllostomidae	g__Vampyressa	k__Metazoa	o__Chiroptera	p__Chordata	Vampyressa thyone	s__Vampyressa_thyone	ERD502	sk__Eukaryota	362826	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome	male	Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.ERD503	adult	0.0	BD.ERD503	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.ERD503	Omnivore	Frugivore Fruits Insects	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	little yellow-shouldered bat	f__Phyllostomidae	g__Sturnira	k__Metazoa	o__Chiroptera	p__Chordata	Sturnira lilium	s__Sturnira_lilium	ERD503	sk__Eukaryota	27660	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome	male	Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.ERD504		0.0	BD.ERD504	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.ERD504	Omnivore	Frugivore Fruits Insects	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	little yellow-shouldered bat	f__Phyllostomidae	g__Sturnira	k__Metazoa	o__Chiroptera	p__Chordata	Sturnira lilium	s__Sturnira_lilium	ERD504	sk__Eukaryota	27660	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome		Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.ERD505		0.0	BD.ERD505	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.ERD505	Carnivore	Insectivore Insects	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	elegant Myotis	f__Vespertilionidae	g__Myotis	k__Metazoa	o__Chiroptera	p__Chordata	Myotis elegans	s__Myotis_elegans	ERD505	sk__Eukaryota	258937	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome		Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.ERD506		0.0	BD.ERD506	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.ERD506	Herbivore	Frugivore Fruits	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	Not applicable	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia sowelli	s__Carollia_sowelli	ERD506	sk__Eukaryota	208969	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome		Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.ERD507		0.0	BD.ERD507	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.ERD507	Carnivore	Insectivore Insects	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	elegant Myotis	f__Vespertilionidae	g__Myotis	k__Metazoa	o__Chiroptera	p__Chordata	Myotis elegans	s__Myotis_elegans	ERD507	sk__Eukaryota	258937	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome		Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.ERD508		0.0	BD.ERD508	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.ERD508	Herbivore	Frugivore Fruits	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	great fruit-eating bat	f__Phyllostomidae	g__Artibeus	k__Metazoa	o__Chiroptera	p__Chordata	Artibeus lituratus	s__Artibeus_lituratus	ERD508	sk__Eukaryota	27634	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome		Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.ERD509		0.0	BD.ERD509	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.ERD509	Carnivore	Insectivore Insects	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	greater sac-winged bat	f__Emballonuridae	g__Saccopteryx	k__Metazoa	o__Chiroptera	p__Chordata	Saccopteryx bilineata	s__Saccopteryx_bilineata	ERD509	sk__Eukaryota	59482	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome		Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.ERD510		0.0	BD.ERD510	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.ERD510	Omnivore	Frugivore Fruits Insects	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	little yellow-shouldered bat	f__Phyllostomidae	g__Sturnira	k__Metazoa	o__Chiroptera	p__Chordata	Sturnira lilium	s__Sturnira_lilium	ERD510	sk__Eukaryota	27660	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome		Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
