sample_name	age	age_month_selective	age_unit	altitude	altitude_m	anonymized_name	basophils	body_condition	collection_date	collection_timestamp	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	eosinophils	extracted_dna_avail_now	geo_loc_name	haemoglobin	hct	herd_identity_	host_subject_id	host_taxid	ifng_plate	ifng_run_date	ifngpoke_ng_ml	latitude	latitude_deg	longitude	longitude_deg	lymphocytes	milk	monocytes	physical_specimen_location	physical_specimen_remaining	pregnant	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	rbc	sample_scientific_name	sample_taxid	sample_type	scientific_name	segs	strongyle_epg	tb_status2	title	total_horn_width	wbc
1736.B1.0610	63	63	months	0	0.0	B1.0610	0	3.75	2010-06-16 00:00:00	2010-06-16	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B1	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	27	True	South Africa	11.9	41.5	Lower_Sabie	B1	37445	1	10/18/12	1.093	-23.82	-23.82	31.44	31.44	36	False	26	CCME	True	early	True	Host-associated	Animal	Animal distal gut	1736	10.83	bovine gut metagenome	506599	stool	bovine gut metagenome	11	0	POS	Ezenwa_Cape_Buffalo	73.5	12.7
1736.B1.0611	75	75	months	0	0.0	B1.0611	0	4	2011-06-09 00:00:00	2011-06-09	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B1	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	28	True	South Africa	10.4	32.5	Lower_Sabie	B1	37445	20	11/5/12	0.099	-23.82	-23.82	31.44	31.44	30	False	17	CCME	True	mid	True	Host-associated	Animal	Animal distal gut	1736	7.73	bovine gut metagenome	506599	stool	bovine gut metagenome	25	0	POS	Ezenwa_Cape_Buffalo	75	14.2
1736.B1.1110	68	68	months	0	0.0	B1.1110	0	3.25	2010-11-23 00:00:00	2010-11-23	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B1	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	26	True	South Africa	11.4	35.9	Lower_Sabie	B1	37445	12	10/27/12	0.569	-23.82	-23.82	31.44	31.44	36	False	12	CCME	True	late	True	Host-associated	Animal	Animal distal gut	1736	8.07	bovine gut metagenome	506599	stool	bovine gut metagenome	26	0	POS	Ezenwa_Cape_Buffalo	73	10.8
1736.B1.1209	57	57	months	0	0.0	B1.1209	0	3.5	2009-12-10 00:00:00	2009-12-10	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B1	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	26	True	South Africa	25	36.7	Lower_Sabie	B1	37445	4	10/23/12	0.644	-23.82	-23.82	31.44	31.44	34	False	13	CCME	True	late	True	Host-associated	Animal	Animal distal gut	1736	8.77	bovine gut metagenome	506599	stool	bovine gut metagenome	27	0	POS	Ezenwa_Cape_Buffalo	72.5	80
1736.B10.0609	39	39	months	0	0.0	B10.0609	0	3.25	2009-06-23 00:00:00	2009-06-23	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B10	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	12	True	South Africa	11.5	32.4	Lower_Sabie	B10	37445	33	11/13/12	0.886	-23.82	-23.82	31.44	31.44	57	False	9	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	10.3	bovine gut metagenome	506599	stool	bovine gut metagenome	22	0	NEG	Ezenwa_Cape_Buffalo	58	7.8
1736.B10.0610	51	51	months	0	0.0	B10.0610	0	2.75	2010-06-11 00:00:00	2010-06-11	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B10	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	8	True	South Africa	11.6	35.8	Lower_Sabie	B10	37445	1	10/18/12	0.577	-23.82	-23.82	31.44	31.44	43	False	23	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	11.08	bovine gut metagenome	506599	stool	bovine gut metagenome	26	0	POS	Ezenwa_Cape_Buffalo	62	11.3
1736.B10.0611	63	63	months	0	0.0	B10.0611	0	2	2011-06-07 00:00:00	2011-06-07	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B10	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	9	True	South Africa	10.7	31.2	Lower_Sabie	B10	37445	20	11/5/12	0.746	-23.82	-23.82	31.44	31.44	43	True	24	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	8.57	bovine gut metagenome	506599	stool	bovine gut metagenome	24	50	POS	Ezenwa_Cape_Buffalo	65	10.3
1736.B10.1109	44	44	months	0	0.0	B10.1109	0	2.5	2009-11-10 00:00:00	2009-11-10	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B10	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	14	True	South Africa	10.4	35.4	Lower_Sabie	B10	37445	5	10/24/12	1.362	-23.82	-23.82	31.44	31.44	11	False	60	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	9.9	bovine gut metagenome	506599	stool	bovine gut metagenome	15	0	POS	Ezenwa_Cape_Buffalo	58	7.4
1736.B11.0610	87	87	months	0	0.0	B11.0610	0	3.75	2010-06-23 00:00:00	2010-06-23	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B11	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	4	True	South Africa	13.6	47.6	Lower_Sabie	B11	37445	1	10/18/12	2.057	-23.82	-23.82	31.44	31.44	56	True	21	CCME	True	mid	True	Host-associated	Animal	Animal distal gut	1736	12.43	bovine gut metagenome	506599	stool	bovine gut metagenome	19	150	POS	Ezenwa_Cape_Buffalo	68	12.4
1736.B11.0611	99	99	months	0	0.0	B11.0611	0	3.25	2011-06-08 00:00:00	2011-06-08	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B11	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	6	True	South Africa	12.2	38.1	Lower_Sabie	B11	37445	20	11/5/12	1.561	-23.82	-23.82	31.44	31.44	26	True	39	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	9.49	bovine gut metagenome	506599	stool	bovine gut metagenome	29	700	POS	Ezenwa_Cape_Buffalo	67.5	8.2
