sample_name	age	age_unit	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	country	depth_m	description	diet	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	host_subject_id	host_taxid	latitude	latitude_deg	life_stage	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	taxon_id	title	tot_mass
1748.4.24.12.FR.1.D	Missing: Not provided	months	0.0	4.24.12.FR.1.D	UBERON:skin	UBERON:mucus	UBERON:skin	2012-04-24	GAZ:United States of America	0	pigeon biogeography, ctrl mouth	ominivorous	TRUE	1624.1	1624.1	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	mucus	human-oral	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:CO:Boulder	JPS	8400	40.01	40.01	adult	-105.271	-105.271	UCSDMI	TRUE	TRUE	Host-associated	Animal	Animal surface	1748	organismal metagenomes	410656	saliva	human oral metagenome	male	447426	knight_comp_biogeography	Missing: Not provided
1748.4.24.12.FR.1.V	Missing: Not provided	months	0.0	4.24.12.FR.1.V	UBERON:skin	UBERON:mucus	UBERON:skin	2012-04-24	GAZ:United States of America	0	iguana biogeography, ctrl mouth	vegetarian	TRUE	1624.1	1624.1	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	mucus	human-oral	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:CO:Boulder	JPS	8400	40.01	40.01	adult	-105.271	-105.271	UCSDMI	TRUE	TRUE	Host-associated	Animal	Animal surface	1748	organismal metagenomes	410656	saliva	human oral metagenome	male	447426	knight_comp_biogeography	Missing: Not provided
1748.4.24.12.FR.10.D	Missing: Not provided	months	0.0	4.24.12.FR.10.D	UBERON:skin	UBERON:mucus	UBERON:skin	2012-04-24	GAZ:United States of America	0	pigeon biogeography, ctrl bench paper	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	mucus	misc environment	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:CO:Boulder	CTRL.BENCH PAPER 1	8400	40.01	40.01	adult	-105.271	-105.271	UCSDMI	TRUE	TRUE	Host-associated	Animal	Animal surface	1748	organismal metagenomes	410656	control bench paper	indoor metagenome	Not applicable	1256227	knight_comp_biogeography	Missing: Not provided
1748.4.24.12.FR.10.V	Missing: Not provided	months	0.0	4.24.12.FR.10.V	UBERON:skin	UBERON:mucus	UBERON:skin	2012-04-24	GAZ:United States of America	0	iguana biogeography, ctrl bench paper	vegetarian	TRUE	1624.1	1624.1	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	mucus	misc environment	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:CO:Boulder	CTRL.BENCH PAPER 2	8400	40.01	40.01	adult	-105.271	-105.271	UCSDMI	TRUE	TRUE	Host-associated	Animal	Animal surface	1748	organismal metagenomes	410656	control bench paper	indoor metagenome	Not applicable	1256227	knight_comp_biogeography	Missing: Not provided
1748.4.24.12.FR.11.D	Missing: Not provided	months	0.0	4.24.12.FR.11.D	UBERON:skin	UBERON:mucus	UBERON:skin	2012-04-24	GAZ:United States of America	0	frog biogeography, dorsal right distal leg section	omnivorous	TRUE	1624.1	1624.1	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	mucus	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:CO:Boulder	Rana Catesbiana 1	8400	40.01	40.01	adult	-105.271	-105.271	UCSDMI	TRUE	TRUE	Host-associated	Animal	Animal surface	1748	organismal metagenomes	410656	skin	frog metagenome	male	1789662	knight_comp_biogeography	Missing: Not provided
1748.4.24.12.FR.11.V	Missing: Not provided	months	0.0	4.24.12.FR.11.V	UBERON:skin	UBERON:mucus	UBERON:skin	2012-04-24	GAZ:United States of America	0	frog biogeography, ventral right distal leg section	omnivorous	TRUE	1624.1	1624.1	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	mucus	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:CO:Boulder	Rana Catesbiana 1	8400	40.01	40.01	adult	-105.271	-105.271	UCSDMI	TRUE	TRUE	Host-associated	Animal	Animal surface	1748	organismal metagenomes	410656	skin	frog metagenome	male	1789662	knight_comp_biogeography	Missing: Not provided
1748.4.24.12.FR.12.D	Missing: Not provided	months	0.0	4.24.12.FR.12.D	UBERON:skin	UBERON:mucus	UBERON:skin	2012-04-24	GAZ:United States of America	0	frog biogeography, dorsal medial trunk	omnivorous	TRUE	1624.1	1624.1	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	mucus	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:CO:Boulder	Rana Catesbiana 1	8400	40.01	40.01	adult	-105.271	-105.271	UCSDMI	TRUE	TRUE	Host-associated	Animal	Animal surface	1748	organismal metagenomes	410656	skin	frog metagenome	male	1789662	knight_comp_biogeography	Missing: Not provided
1748.4.24.12.FR.12.V	Missing: Not provided	months	0.0	4.24.12.FR.12.V	UBERON:skin	UBERON:mucus	UBERON:skin	2012-04-24	GAZ:United States of America	0	frog biogeography, ventral medial trunk	omnivorous	TRUE	1624.1	1624.1	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	mucus	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:CO:Boulder	Rana Catesbiana 1	8400	40.01	40.01	adult	-105.271	-105.271	UCSDMI	TRUE	TRUE				1748	organismal metagenomes	410656	skin	frog metagenome	male	1789662	knight_comp_biogeography	Missing: Not provided
1748.4.24.12.FR.13.D	Missing: Not provided	months	0.0	4.24.12.FR.13.D	UBERON:skin	UBERON:mucus	UBERON:skin	2012-04-24	GAZ:United States of America	0	frog biogeography, dorsal right trunk side	omnivorous	TRUE	1624.1	1624.1	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	mucus	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:CO:Boulder	Rana Catesbiana 1	8400	40.01	40.01	adult	-105.271	-105.271	UCSDMI	TRUE	TRUE	Host-associated	Animal	Animal surface	1748	organismal metagenomes	410656	skin	frog metagenome	male	1789662	knight_comp_biogeography	Missing: Not provided
1748.4.24.12.FR.13.V	Missing: Not provided	months	0.0	4.24.12.FR.13.V	UBERON:skin	UBERON:mucus	UBERON:skin	2012-04-24	GAZ:United States of America	0	frog biogeography, ventral right trunk side	omnivorous	TRUE	1624.1	1624.1	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	mucus	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:CO:Boulder	Rana Catesbiana 1	8400	40.01	40.01	adult	-105.271	-105.271	UCSDMI	TRUE	TRUE				1748	organismal metagenomes	410656	skin	frog metagenome	male	1789662	knight_comp_biogeography	Missing: Not provided
