sample_name	age	age_range	age_unit	altitude_m	anonymized_name	body_habitat	body_product	body_site	body_site_common	collection_timestamp	country	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	orig_sample_name	phase	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	taxon_id	title	treatment_group
1799.1.N.SD.whole.fly1	19.5	18-21	days	0.0	N_SD_whole_fly1	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Whole body	2013-01-30	GAZ:Puerto Rico	0	Whole adult fly body from a non-sleep deprived fly	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	N_SD_whole_fly1	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	1	non-sleep deprived whole body	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	non-sleep deprived
1799.10.N.SD6	19.5	18-21	days	0.0	N_SD6	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a non-sleep deprived fly	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	N_SD6	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	10	non-sleep deprived gut	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	non-sleep deprived
1799.100.SD.Pum7	19.5	18-21	days	0.0	N_SD_Pum28	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum7	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	100	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.101.SD.Pum8	19.5	18-21	days	0.0	N_SD_Pum29	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum8	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	101	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.102.SD.Pum9	19.5	18-21	days	0.0	N_SD_Pum30	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum9	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	102	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.103.SD.Pum10	19.5	18-21	days	0.0	N_SD_Pum_whole_fly1	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum10	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	103	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.104.SD.Pum11	19.5	18-21	days	0.0	N_SD_Pum_whole_fly2	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum11	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	104	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.105.SD.Pum12	19.5	18-21	days	0.0	N_SD_Pum_Soup1	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum12	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	105	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.106.SD.Pum13	19.5	18-21	days	0.0	N_SD_Pum_Soup2	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum13	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	106	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.107.SD.Pum14	19.5	18-21	days	0.0	SD_Pum1	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum14	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	107	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
