sample_name	age	age_unit	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_time	collection_timestamp	country	depth	depth_m	description	diet	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	host_common_name	host_subject_id	host_taxid	latitude	latitude_deg	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	pregnant	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	temp	temperature_deg_c	title	tot_mass	weight_pounds
2300.BB.03.anus	1	years	0	0.0	3202	UBERON:feces	UBERON:feces	UBERON:feces	2:00 PM	2013-12-17	GAZ:United States of America	0	0	Black bear 03 anus	omnivore	TRUE	420.033	420.033	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.03	62692	47.486	47.486	-93.605	-93.605	UCSDMI	TRUE		TRUE	Host-associated	Animal	Animal distal gut	2300	gut metagenome	749906	stool	gut metagenome	male		Not applicable	Gut microbiome of hibernating bears	23.59	52
2300.BB.03.colon	1	years	0	0.0	3202	UBERON:feces	UBERON:feces	UBERON:feces	2:00 PM	2013-12-17	GAZ:United States of America	0	0	Black bear 03 colon	omnivore	TRUE	420.033	420.033	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.03	62692	47.486	47.486	-93.605	-93.605	UCSDMI	TRUE		TRUE	Host-associated	Animal	Animal distal gut	2300	gut metagenome	749906	stool	gut metagenome	male		Not applicable	Gut microbiome of hibernating bears	23.59	52
2300.BB.03.equip	1	years	0	0.0	3202	Not applicable	Not applicable	Not applicable	2:00 PM	2013-12-17	GAZ:United States of America	0	0	Black bear 03 equipment	omnivore	TRUE	420.033	420.033	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	anthropogenic environmental material	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.03	62692	47.486	47.486	-93.605	-93.605	UCSDMI	TRUE		TRUE				2300	metagenomes	408169	lab equipment	indoor metagenome	male		Not applicable	Gut microbiome of hibernating bears	23.59	52
2300.BB.03.lavage100	1	years	0	0.0	3202	Not applicable	Not applicable	Not applicable	2:00 PM	2013-12-17	GAZ:United States of America	0	0	Black bear 03 lavage 100	omnivore	TRUE	420.033	420.033	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	anthropogenic environmental material	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.03	62692	47.486	47.486	-93.605	-93.605	UCSDMI	TRUE		TRUE	Host-associated	Animal	Animal distal gut	2300	metagenomes	408169	lab equipment	indoor metagenome	male		Not applicable	Gut microbiome of hibernating bears	23.59	52
2300.BB.03.lavage20	1	years	0	0.0	3202	Not applicable	Not applicable	Not applicable	2:00 PM	2013-12-17	GAZ:United States of America	0	0	Black bear 03 lavage 20	omnivore	TRUE	420.033	420.033	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	anthropogenic environmental material	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.03	62692	47.486	47.486	-93.605	-93.605	UCSDMI	TRUE		TRUE	Host-associated	Animal	Animal distal gut	2300	metagenomes	408169	lab equipment	indoor metagenome	male		Not applicable	Gut microbiome of hibernating bears	23.59	52
2300.BB.03.lavageRNA	1	years	0	0.0	3202	Not applicable	Not applicable	Not applicable	2:00 PM	2013-12-17	GAZ:United States of America	0	0	Black bear 03 lavage RNA	omnivore	TRUE	420.033	420.033	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	anthropogenic environmental material	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.03	62692	47.486	47.486	-93.605	-93.605	UCSDMI	TRUE		TRUE	Host-associated	Animal	Animal distal gut	2300	metagenomes	408169	lab equipment	indoor metagenome	male		Not applicable	Gut microbiome of hibernating bears	23.59	52
2300.BB.04.anus	1	years	0	0.0	3203	UBERON:feces	UBERON:feces	UBERON:feces	2:00 PM	2013-12-17	GAZ:United States of America	0	0	Black bear 04 anus	omnivore	TRUE	420.033	420.033	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.04	62692	47.48615	47.48615	-93.60536	-93.60536	UCSDMI	TRUE	no	TRUE	Host-associated	Animal	Animal distal gut	2300	gut metagenome	749906	stool	gut metagenome	female	91.4	33.0	Gut microbiome of hibernating bears	19.05	42
2300.BB.04.colon	1	years	0	0.0	3203	UBERON:feces	UBERON:feces	UBERON:feces	2:00 PM	2013-12-17	GAZ:United States of America	0	0	Black bear 04 colon	omnivore	TRUE	420.033	420.033	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.04	62692	47.48615	47.48615	-93.60536	-93.60536	UCSDMI	TRUE	no	TRUE	Host-associated	Animal	Animal distal gut	2300	gut metagenome	749906	stool	gut metagenome	female	91.4	33.0	Gut microbiome of hibernating bears	19.05	42
2300.BB.04.equip	1	years	0	0.0	3203	Not applicable	Not applicable	Not applicable	2:00 PM	2013-12-17	GAZ:United States of America	0	0	Black bear 04 equipment	omnivore	TRUE	420.033	420.033	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	anthropogenic environmental material	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.04	62692	47.48615	47.48615	-93.60536	-93.60536	UCSDMI	TRUE	no	TRUE				2300	metagenomes	408169	lab equipment	indoor metagenome	female	91.4	33.0	Gut microbiome of hibernating bears	19.05	42
2300.BB.04.lavage20	1	years	0	0.0	3203	Not applicable	Not applicable	Not applicable	2:00 PM	2013-12-17	GAZ:United States of America	0	0	Black bear 04 lavage 20	omnivore	TRUE	420.033	420.033	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	anthropogenic environmental material	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.04	62692	47.48615	47.48615	-93.60536	-93.60536	UCSDMI	TRUE	no	TRUE	Host-associated	Animal	Animal distal gut	2300	metagenomes	408169	lab equipment	indoor metagenome	female	91.4	33.0	Gut microbiome of hibernating bears	19.05	42
