sample_name	age	age_unit	age_units	animation_gradient	animation_trajectory	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	description	diet	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	gut_physiology	host_clade	host_common_name	host_family	host_order	host_scientific_name	host_subject_id	host_taxid	latitude	lifestage	longitude	physical_samp_avail_now	physical_specimen_location	physical_specimen_remaining	provenance	public	qiita_study_id	sample_location	sample_type	scientific_name	sex	taxon_id	title
626.AfElphSD3	Missing: Not provided	years	years	0	NA	AfElphSD3	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample AfElphSD3	Herbivore	TRUE	81	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Hindgut	Afrotheria	African elephant	Elephantidae	Proboscidea	Loxodonta africana	AfElphSD3	9785	32.736585	adult	-117.151475	TRUE	CGS-GL	FALSE	San Diego Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Armadillo	Missing: Not provided	years	years	0	NA	Armadillo	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Armadillo	Carnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Xenarthra	Southern three-banded armadillo	Dasypodidae	Cingulata	Tolypeutes matacus	Armadillo	183749	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.BaboonSTL	Missing: Not provided	years	years	0	NA	BaboonSTL	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample BaboonSTL	Omnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Euarchontoglires	Hamadryas baboon	Cercopithecidae	Primates	Papio hamadryas	BaboonSTL	9557	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.BaboonW	Missing: Not provided	years	years	0	NA	BaboonW	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample BaboonW	Omnivore	TRUE	1348	Host-associated	Animal	Animal distal gut	temperate desert biome	animal-associated habitat	feces	host-associated	USA	Simple	Euarchontoglires	Hamadryas baboon	Cercopithecidae	Primates	Papio hamadryas	BaboonW	9557	-117.151475	adult	18.49041	TRUE	CGS-GL	FALSE	Wild	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.BigHornSD	Missing: Not provided	years	years	0	NA	BigHornSD	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample BigHornSD	Herbivore	TRUE	81	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Foregut	Laurasiatheria	BigHorn sheep	Bovidae	Cetartiodactyla	Ovis canadensis	BigHornSD	37174	32.736585	adult	-117.151475	TRUE	CGS-GL	FALSE	San Diego Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.BigHornW3	Missing: Not provided	years	years	0	NA	BigHornW3	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample BigHornW3	Herbivore	TRUE	3388	Host-associated	Animal	Animal distal gut	temperate coniferous forest biome	animal-associated habitat	feces	host-associated	USA	Foregut	Laurasiatheria	BigHorn sheep	Bovidae	Cetartiodactyla	Ovis canadensis	BigHornW3	37174	39.55005	adult	-105.782067	TRUE	CGS-GL	FALSE	Wild	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.BlackBr2	Missing: Not provided	years	years	0	NA	BlackBr2	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample BlackBr2	Omnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Laurasiatheria	North American black bear	Ursidae	Carnivora	Ursus americanus	BlackBr2	9643	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.BlackLemur	Missing: Not provided	years	years	0	NA	BlackLemur	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample BlackLemur	Omnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Euarchontoglires	Black lemur	Lemuridae	Primates	Eulemur macaco macaco	BlackLemur	30602	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.BlackRhino1	Missing: Not provided	years	years	0	NA	BlackRhino1	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample BlackRhino1	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Hindgut	Laurasiatheria	Black rhinoceros	Rhinocerotidae	Perissodactyla	Diceros bicornis	BlackRhino1	9805	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.BushDog1	Missing: Not provided	years	years	0	NA	BushDog1	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample BushDog1	Carnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Laurasiatheria	Bush dog	Canidae	Carnivora	Speothos venaticus	BushDog1	68741	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Callimicos	Missing: Not provided	years	years	0	NA	Callimicos	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Callimicos	Omnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Euarchontoglires	Goeldi's marmoset	Cebidae	Primates	Callimico goeldii	Callimicos	9495	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Capybara	Missing: Not provided	years	years	0	NA	Capybara	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Capybara	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Hindgut	Euarchontoglires	Capybara	Caviidae	Rodentia	Hydrochoeris hydrochaeris	Capybara	10149	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Chimp1	Missing: Not provided	years	years	0	NA	Chimp1	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Chimp1	Omnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Euarchontoglires	Chimpanzee	Hominidae	Primates	Pan troglodytes	Chimp1	9598	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Chimp2	Missing: Not provided	years	years	0	NA	Chimp2	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Chimp2	Omnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Euarchontoglires	Chimpanzee	Hominidae	Primates	Pan troglodytes	Chimp2	9598	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Colobus	Missing: Not provided	years	years	0	NA	Colobus	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Colobus	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Foregut	Euarchontoglires	Angolan black and white colobus monkey	Cercopithecidae	Primates	Colobus guereza	Colobus	54131	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Echidna	Missing: Not provided	years	years	0	NA	Echidna	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Echidna	Carnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Monotremata	Short-beaked echidna	Tachyglossidae	Monotremata	Tachyglossus aculeatus	Echidna	9261	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Gazelle3	Missing: Not provided	years	years	0	NA	Gazelle3	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Gazelle3	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Foregut	Laurasiatheria	Speke's gazelle	Bovidae	Cetartiodactyla	Gazella spekei	Gazelle3	69307	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Giraffe2	Missing: Not provided	years	years	0	NA	Giraffe2	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Giraffe2	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Foregut	Laurasiatheria	Reticulated giraffe	Giraffidae	Cetartiodactyla	Giraffa camelopardalis reticulata	Giraffe2	409609	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.GorillaSTL	Missing: Not provided	years	years	0	NA	GorillaSTL	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample GorillaSTL	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Hindgut	Euarchontoglires	Western lowland gorilla	Hominidae	Primates	Gorilla gorilla	GorillaSTL	9595	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Horse1	Missing: Not provided	years	years	0	NA	Horse1	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Horse1	Herbivore	TRUE	169	Host-associated	Animal	Animal distal gut	grassland biome	animal-associated habitat	feces	host-associated	USA	Hindgut	Laurasiatheria	Horse	Equidae	Perissodactyla	Equus caballus	Horse1	9796	38.646991	adult	-90.224967	TRUE	CGS-GL	FALSE	Wild	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Hyena2	Missing: Not provided	years	years	0	NA	Hyena2	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Hyena2	Carnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Laurasiatheria	Spotted hyena	Hyaenidae	Carnivora	Crocuta crocuta	Hyena2	9678	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.HyraxSD	Missing: Not provided	years	years	0	NA	HyraxSD	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample HyraxSD	Herbivore	TRUE	81	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Foregut	Afrotheria	Rock hyrax	Procaviidae	Hyracoidea	Procavia capensis	HyraxSD	9813	32.736585	adult	-117.151475	TRUE	CGS-GL	FALSE	San Diego Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.HyraxSTL	Missing: Not provided	years	years	0	NA	HyraxSTL	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample HyraxSTL	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Foregut	Afrotheria	Rock hyrax	Procaviidae	Hyracoidea	Procavia capensis	HyraxSTL	9813	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Kroo3	Missing: Not provided	years	years	0	NA	Kroo3	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Kroo3	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Foregut	Marsupialia	Red kangaroo	Macropodidae	Diprotodontia	Macropus rufus	Kroo3	9321	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Lion1	Missing: Not provided	years	years	0	NA	Lion1	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Lion1	Carnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Laurasiatheria	Lion	Felidae	Carnivora	Panthera leo	Lion1	9689	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
