sample_name	altitude	body_habitat	body_product	body_site	collection_date	country	depth	description	dna_extracted	elevation	env_biome	env_feature	host_common_name	host_subject_id	host_taxid	latitude	longitude	physical_specimen_remaining	public	qiita_study_id	sample_type	sex	title
836.Ix.s.02	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/17/2011	GAZ:United States of America	0	tick metagenome	true	1.21	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick1	6945	36	75	false	false	836	XXQIITAXX	female	Bacterial diversity in ticks
836.Ix.s.03	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/17/2011	GAZ:United States of America	0	tick metagenome	true	1.21	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick2	6945	36	75	false	false	836	XXQIITAXX	female	Bacterial diversity in ticks
836.Ix.s.05	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/17/2011	GAZ:United States of America	0	tick metagenome	true	1.21	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick3	6945	36	75	false	false	836	XXQIITAXX	female	Bacterial diversity in ticks
836.Ix.s.06	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/17/2011	GAZ:United States of America	0	tick metagenome	true	1.21	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick4	6945	36	75	false	false	836	XXQIITAXX	female	Bacterial diversity in ticks
836.Ix.s.07	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/17/2011	GAZ:United States of America	0	tick metagenome	true	1.21	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick5	6945	36	75	false	false	836	XXQIITAXX	male	Bacterial diversity in ticks
836.Ix.s.08	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/17/2011	GAZ:United States of America	0	tick metagenome	true	1.21	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick6	6945	36	75	false	false	836	XXQIITAXX	male	Bacterial diversity in ticks
836.Ix.s.10	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/17/2011	GAZ:United States of America	0	tick metagenome	true	1.21	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick7	6945	36	75	false	false	836	XXQIITAXX	male	Bacterial diversity in ticks
836.Ix.s.101	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/15/2011	GAZ:United States of America	0	tick metagenome	true	3.04	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick9	6945	35	77	false	false	836	XXQIITAXX	male	Bacterial diversity in ticks
836.Ix.s.102	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/15/2011	GAZ:United States of America	0	tick metagenome	true	3.04	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick10	6945	35	77	false	false	836	XXQIITAXX	male	Bacterial diversity in ticks
836.Ix.s.103	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/15/2011	GAZ:United States of America	0	tick metagenome	true	3.04	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick11	6945	35	77	false	false	836	XXQIITAXX	male	Bacterial diversity in ticks
836.Ix.s.104	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/15/2011	GAZ:United States of America	0	tick metagenome	true	3.04	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick12	6945	35	77	false	false	836	XXQIITAXX	male	Bacterial diversity in ticks
836.Ix.s.107	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/15/2011	GAZ:United States of America	0	tick metagenome	true	3.04	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick13	6945	35	77	false	false	836	XXQIITAXX	female	Bacterial diversity in ticks
836.Ix.s.108	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/15/2011	GAZ:United States of America	0	tick metagenome	true	3.04	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick14	6945	35	77	false	false	836	XXQIITAXX	female	Bacterial diversity in ticks
836.Ix.s.109	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/15/2011	GAZ:United States of America	0	tick metagenome	true	3.04	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick15	6945	35	77	false	false	836	XXQIITAXX	female	Bacterial diversity in ticks
836.Ix.s.11	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/17/2011	GAZ:United States of America	0	tick metagenome	true	1.21	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick8	6945	36	75	false	false	836	XXQIITAXX	male	Bacterial diversity in ticks
836.Ix.s.110	0	UBERON:body	UBERON:multi-tissue structure	UBERON:multi-tissue structure	3/15/2011	GAZ:United States of America	0	tick metagenome	true	3.04	ENVO:organism-associated habitat	ENVO:organism-associated habitat	deer tick	tick16	6945	35	77	false	false	836	XXQIITAXX	female	Bacterial diversity in ticks
