sample_name	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	country	depth_m	description	disease_stat	disease_status	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	title	wsg84
894.Arm1973.lane2.NoIndex.L002	0.0	Arm1973	UBERON:feces	body_product	UBERON:feces	2011-06-03	GAZ:Australia	0	Sambar deer feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	Sambar	f__Cervidae	g__Rusa	k__Metazoa	o__	p__Chordata	Rusa unicolor	s__Rusa_unicolor	Arm1973	sk__Eukaryota	662561	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
894.Arm1974.lane2.NoIndex.L002	0.0	Arm1974	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-03	GAZ:Australia	0	Sambar deer feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	Sambar	f__Cervidae	g__Rusa	k__Metazoa	o__	p__Chordata	Rusa unicolor	s__Rusa_unicolor	Arm1974	sk__Eukaryota	662561	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
894.Arm1975.lane2.NoIndex.L002	0.0	Arm1975	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-03	GAZ:Australia	0	Sambar deer feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	Sambar	f__Cervidae	g__Rusa	k__Metazoa	o__	p__Chordata	Rusa unicolor	s__Rusa_unicolor	Arm1975	sk__Eukaryota	662561	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
894.Arm1976.lane2.NoIndex.L002	0.0	Arm1976	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-03	GAZ:Australia	0	Sambar deer feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	Sambar	f__Cervidae	g__Rusa	k__Metazoa	o__	p__Chordata	Rusa unicolor	s__Rusa_unicolor	Arm1976	sk__Eukaryota	662561	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
894.Arm1977.lane2.NoIndex.L002	0.0	Arm1977	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-03	GAZ:Australia	0	Sambar deer feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	Sambar	f__Cervidae	g__Rusa	k__Metazoa	o__	p__Chordata	Rusa unicolor	s__Rusa_unicolor	Arm1977	sk__Eukaryota	662561	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
894.Arm1978.lane2.NoIndex.L002	0.0	Arm1978	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-03	GAZ:Australia	0	Sambar deer feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	Sambar	f__Cervidae	g__Rusa	k__Metazoa	o__	p__Chordata	Rusa unicolor	s__Rusa_unicolor	Arm1978	sk__Eukaryota	662561	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
894.Arm1979.lane2.NoIndex.L002	0.0	Arm1979	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-03	GAZ:Australia	0	Sambar deer feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	Sambar	f__Cervidae	g__Rusa	k__Metazoa	o__	p__Chordata	Rusa unicolor	s__Rusa_unicolor	Arm1979	sk__Eukaryota	662561	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
894.Arm1980.lane2.NoIndex.L002	0.0	Arm1980	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-03	GAZ:Australia	0	Sambar deer feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	Sambar	f__Cervidae	g__Rusa	k__Metazoa	o__	p__Chordata	Rusa unicolor	s__Rusa_unicolor	Arm1980	sk__Eukaryota	662561	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
894.Arm1981.lane2.NoIndex.L002	0.0	Arm1981	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-03	GAZ:Australia	0	Sambar deer feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	Sambar	f__Cervidae	g__Rusa	k__Metazoa	o__	p__Chordata	Rusa unicolor	s__Rusa_unicolor	Arm1981	sk__Eukaryota	662561	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
894.Arm1982.lane2.NoIndex.L002	0.0	Arm1982	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-03	GAZ:Australia	0	Sambar deer feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	Sambar	f__Cervidae	g__Rusa	k__Metazoa	o__	p__Chordata	Rusa unicolor	s__Rusa_unicolor	Arm1982	sk__Eukaryota	662561	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
