sample_name	alga	altitude	altitude_m	anonymized_name	collection_timestamp	coral_species	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	host_common_name	host_subject_id	host_taxid	island	latitude	latitude_deg	longitude	longitude_deg	perturbation	physical_location_2	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	replicate	sample_scientific_name	sample_taxid	sample_type	scientific_name	site	title	zone
910.AcrAB		0	0.0	AcrAB	2011-10-28	Acropora yongei	GAZ:United States of America	0	0	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	USA	Not applicable	AcrAB	117778	San Diego	32.52005	32.52005	-117.145887	-117.145887	Antibiotic	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910		coral metagenome	496922	Coral	coral metagenome	Birch Aquarium	Viral communities associated with algal/coral interactions	
910.AcrC48		0	0.0	AcrC48	2011-10-30	Acropora yongei	GAZ:United States of America	0	0	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	USA	Not applicable	AcrC48	117778	San Diego	32.52005	32.52005	-117.145887	-117.145887	48 Hr Control	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910		coral metagenome	496922	Coral	coral metagenome	Birch Aquarium	Viral communities associated with algal/coral interactions	
910.AcrC6		0	0.0	AcrC6	2011-10-30	Acropora yongei	GAZ:United States of America	0	0	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	USA	Not applicable	AcrC6	117778	San Diego	32.52005	32.52005	-117.145887	-117.145887	6 Hr Control	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910		coral metagenome	496922	Coral	coral metagenome	Birch Aquarium	Viral communities associated with algal/coral interactions	
910.AcrHS		0	0.0	AcrHS	2011-10-30	Acropora yongei	GAZ:United States of America	0	0	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	USA	Not applicable	AcrHS	117778	San Diego	32.52005	32.52005	-117.145887	-117.145887	Heat Shock	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910		coral metagenome	496922	Coral	coral metagenome	Birch Aquarium	Viral communities associated with algal/coral interactions	
910.AcrIFN		0	0.0	AcrIFN	2011-10-28	Acropora yongei	GAZ:United States of America	0	0	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	USA	Not applicable	AcrIFN	117778	San Diego	32.52005	32.52005	-117.145887	-117.145887	IFN	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910		coral metagenome	496922	Coral	coral metagenome	Birch Aquarium	Viral communities associated with algal/coral interactions	
910.AcrLT1		0	0.0	AcrLT1	2011-07-19	Acropora sp.	GAZ:French Polynesia	5	5	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	staghorn corals	AcrLT1	6127	Moorea	17.47185	17.47185	-149.84559	-149.84559	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	1	coral metagenome	496922	Coral	coral metagenome	LTER 1	Viral communities associated with algal/coral interactions	
910.AcrLT2		0	0.0	AcrLT2	2011-07-19	Acropora sp.	GAZ:French Polynesia	5	5	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	staghorn corals	AcrLT2	6127	Moorea	17.47185	17.47185	-149.84559	-149.84559	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	2	coral metagenome	496922	Coral	coral metagenome	LTER 1	Viral communities associated with algal/coral interactions	
910.AcrLT3		0	0.0	AcrLT3	2011-07-19	Acropora sp.	GAZ:French Polynesia	5	5	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	staghorn corals	AcrLT3	6127	Moorea	17.47185	17.47185	-149.84559	-149.84559	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	3	coral metagenome	496922	Coral	coral metagenome	LTER 1	Viral communities associated with algal/coral interactions	
910.AcrLT4		0	0.0	AcrLT4	2011-07-19	Acropora sp.	GAZ:French Polynesia	5	5	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	staghorn corals	AcrLT4	6127	Moorea	17.47185	17.47185	-149.84559	-149.84559	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	4	coral metagenome	496922	Coral	coral metagenome	LTER 1	Viral communities associated with algal/coral interactions	
910.AcrTA1		0	0.0	AcrTA1	2011-07-20	Acropora sp.	GAZ:French Polynesia	2	2	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	staghorn corals	AcrTA1	6127	Moorea	17.29588	17.29588	-149.452746	-149.452746	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	1	coral metagenome	496922	Coral	coral metagenome	Tamae	Viral communities associated with algal/coral interactions	
