sample_name	altitude_m	anonymized_name	collection_timestamp	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	light_kilolux_7days	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	taxon_id	temp	temperature_deg_c	title
933.BbA	0.0	UNSW0357	2008-02-12	GAZ:Australia	8.9	8.9	DNA from surface of bleached Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0357	sk__Eukaryota	40385	-33.991889	-33.991889	Missing: Not provided	151.231	151.231	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.26	22.26	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.BbB	0.0	UNSW0356	2008-02-12	GAZ:Australia	8.9	8.9	DNA from surface of bleached Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0356	sk__Eukaryota	40385	-33.991889	-33.991889	Missing: Not provided	151.231	151.231	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.26	22.26	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.BbC	0.0	UNSW0358	2008-02-12	GAZ:Australia	8.9	8.9	DNA from surface of bleached Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0358	sk__Eukaryota	40385	-33.991889	-33.991889	Missing: Not provided	151.231	151.231	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.26	22.26	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.BbD	0.0	UNSW0359	2008-02-12	GAZ:Australia	8.9	8.9	DNA from surface of bleached Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0359	sk__Eukaryota	40385	-33.991889	-33.991889	Missing: Not provided	151.231	151.231	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.26	22.26	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.BbE	0.0	UNSW0360	2008-02-12	GAZ:Australia	8.9	8.9	DNA from surface of bleached Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0360	sk__Eukaryota	40385	-33.991889	-33.991889	Missing: Not provided	151.231	151.231	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.26	22.26	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.BbK	0.0	UNSW0366	2009-02-27	GAZ:Australia	9.1	9.1	DNA from surface of bleached Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0366	sk__Eukaryota	40385	-33.991889	-33.991889	Missing: Not provided	151.231	151.231	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.16	22.16	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.BbM	0.0	UNSW0367	2008-02-12	GAZ:Australia	9.1	9.1	DNA from surface of bleached Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0367	sk__Eukaryota	40385	-33.991889	-33.991889	Missing: Not provided	151.231	151.231	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.16	22.16	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.Bu176	0.0	UNSW0350	2008-02-12	GAZ:Australia	8.9	8.9	DNA from surface of healthy Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0350	sk__Eukaryota	40385	-33.991889	-33.991889	Missing: Not provided	151.231	151.231	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.26	22.26	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.BuF	0.0	UNSW0349	2008-02-12	GAZ:Australia	8.9	8.9	DNA from surface of healthy Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0349	sk__Eukaryota	40385	-33.991889	-33.991889	Missing: Not provided	151.231	151.231	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.26	22.26	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.BuG	0.0	UNSW0346	2008-02-12	GAZ:Australia	8.9	8.9	DNA from surface of healthy Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0346	sk__Eukaryota	40385	-33.991889	-33.991889	Missing: Not provided	151.231	151.231	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.26	22.26	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
